trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.7, 'e': 0.0001321178491214163}",25,7,32.189478898129664,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.00012913223140495868}",30,22,14.962026862335842,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.00012624668602449185}",20,11,-2.3589219697854285,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.0001234567901234568}",25,3,39.11635367965741,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.00012075836251660427}",25,0,37.16933000245694,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.7, 'e': 0.00011814744801512288}",25,9,27.62713686719278,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.00011562030292519366}",20,0,27.274173776207107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.7, 'e': 0.00011317338162064282}",30,5,35.989262757568476,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.00011080332409972299}",20,16,7.5044534004508945,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.00010850694444444444}",25,19,10.717778514952794,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.00010628122010840685}",20,0,34.331260179613395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.7, 'e': 0.00010412328196584757}",20,14,8.476240045200859,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.00010203040506070809}",25,18,13.910146828385546,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.0001}",20,0,27.401600799848215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.7, 'e': 9.802960494069208e-05}",25,18,10.384258560291771,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 9.611687812379854e-05}",20,9,18.23403660204018,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 9.425959091337543e-05}",30,15,24.55752977200085,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 9.245562130177515e-05}",25,17,15.076127262706931,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 9.070294784580499e-05}",30,18,21.63099649636295,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 8.8999644001424e-05}",20,11,14.054557795012364,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
